dist_m,time_s,vcap_v
1.78,0.100,0.6400
1.78,0.200,0.6400
1.78,0.300,0.6400
1.78,0.400,0.6400
1.78,0.500,0.6400
1.78,0.600,0.6400
1.78,0.700,0.6400
1.78,0.800,0.6400
1.78,0.900,0.6400
1.78,1.000,0.6400
1.78,1.100,0.6400
1.78,1.200,0.6400
1.78,1.300,0.6400
1.78,1.400,0.6400
1.78,1.500,0.6400
1.78,1.600,0.6400
1.78,1.700,0.6400
1.78,1.800,0.6400
1.78,1.900,0.6400
1.78,2.000,0.6400
1.78,2.100,0.6400
1.78,2.200,0.6400
1.78,2.300,0.6400
1.78,2.400,0.6400
1.78,2.500,0.6400
1.78,2.600,0.6400
1.78,2.700,0.6400
1.78,2.800,0.6400
1.78,2.900,0.6400
1.78,3.000,0.6400
1.78,3.100,0.6400
1.78,3.200,0.6400
1.78,3.300,0.6400
1.78,3.400,0.6400
1.78,3.500,0.6400
1.78,3.600,0.6400
1.78,3.700,0.6400
1.78,3.800,0.6400
1.78,3.900,0.6400
1.78,4.000,0.6400
1.78,4.100,0.6400
1.78,4.200,0.6400
1.78,4.300,0.6400
1.78,4.400,0.6400
1.78,4.500,0.6400
1.78,4.600,0.6400
1.78,4.700,0.6400
1.78,4.800,0.6400
1.78,4.900,0.6400
1.78,5.000,0.6400
1.78,5.100,0.6400
1.78,5.200,0.6400
1.78,5.300,0.6400
1.78,5.400,0.6400
1.78,5.500,0.6400
1.78,5.600,0.6400
1.78,5.700,0.6400
1.78,5.800,0.6400
1.78,5.900,0.6400
1.78,6.000,0.6400
1.78,6.100,0.6400
1.78,6.200,0.6400
1.78,6.300,0.6400
1.78,6.400,0.6400
1.78,6.500,0.6400
1.78,6.600,0.6400
1.78,6.700,0.6400
1.78,6.800,0.6400
1.78,6.900,0.6400
1.78,7.000,0.6400
1.78,7.100,0.6400
1.78,7.200,0.6400
1.78,7.300,0.6400
1.78,7.400,0.6400
1.78,7.500,0.6400
1.78,7.600,0.6400
1.78,7.700,0.6400
1.78,7.800,0.6400
1.78,7.900,0.6400
1.78,8.000,0.6400
1.78,8.100,0.6400
1.78,8.200,0.6400
1.78,8.300,0.6400
1.78,8.400,0.6406
1.78,8.500,0.6400
1.78,8.600,0.6400
1.78,8.700,0.6400
1.78,8.800,0.6400
1.78,8.900,0.6400
1.78,9.000,0.6400
1.78,9.100,0.6400
1.78,9.200,0.6400
1.78,9.300,0.6464
1.78,9.400,0.6536
1.78,9.500,0.6455
1.78,9.600,0.6556
1.78,9.700,0.6482
1.78,9.800,0.6547
1.78,9.900,0.6586
1.78,10.000,0.6420
1.78,10.100,0.6421
1.78,10.200,0.6459
1.78,10.300,0.6496
1.78,10.400,0.6518
1.78,10.500,0.6582
1.78,10.600,0.6539
1.78,10.700,0.6611
1.78,10.800,0.6677
1.78,10.900,0.6745
1.78,11.000,0.6758
1.78,11.100,0.6815
1.78,11.200,0.6874
1.78,11.300,0.6934
1.78,11.400,0.6994
1.78,11.500,0.7048
1.78,11.600,0.7106
1.78,11.700,0.7165
1.78,11.800,0.7232
1.78,11.900,0.7288
1.78,12.000,0.7211
1.78,12.100,0.7264
1.78,12.200,0.7319
1.78,12.300,0.7377
1.78,12.400,0.7380
1.78,12.500,0.7380
1.78,12.600,0.7380
1.78,12.700,0.7380
1.78,12.800,0.7380
1.78,12.900,0.7376
1.78,13.000,0.7380
1.78,13.100,0.7332
1.78,13.200,0.7368
1.78,13.300,0.7379
1.78,13.400,0.7376
1.78,13.500,0.7379
1.78,13.600,0.7379
1.78,13.700,0.7380
1.78,13.800,0.7379
1.78,13.900,0.7379
1.78,14.000,0.7380
1.78,14.100,0.7359
1.78,14.200,0.7376
1.78,14.300,0.7379
1.78,14.400,0.7380
1.78,14.500,0.7375
1.78,14.600,0.7380
1.78,14.700,0.7380
1.78,14.800,0.7380
1.78,14.900,0.7380
1.78,15.000,0.7380
1.78,15.100,0.7380
1.78,15.200,0.7380
1.78,15.300,0.7380
1.78,15.400,0.7380
1.78,15.500,0.7380
1.78,15.600,0.7380
1.78,15.700,0.7380
1.78,15.800,0.7380
1.78,15.900,0.7380
1.78,16.000,0.7380
1.78,16.100,0.7380
1.78,16.200,0.7380
1.78,16.300,0.7380
1.78,16.400,0.7380
1.78,16.500,0.7380
1.78,16.600,0.7380
1.78,16.700,0.7380
1.78,16.800,0.7380
1.78,16.900,0.7380
1.78,17.000,0.7380
1.78,17.100,0.7364
1.78,17.200,0.7376
1.78,17.300,0.7374
1.78,17.400,0.7376
1.78,17.500,0.7380
1.78,17.600,0.7373
1.78,17.700,0.7380
1.78,17.800,0.7377
1.78,17.900,0.7377
1.78,18.000,0.7380
1.78,18.100,0.7360
1.78,18.200,0.7379
1.78,18.300,0.7377
1.78,18.400,0.7374
1.78,18.500,0.7379
1.78,18.600,0.7376
1.78,18.700,0.7377
1.78,18.800,0.7380
1.78,18.900,0.7380
1.78,19.000,0.7380
1.78,19.100,0.7380
1.78,19.200,0.7380
1.78,19.300,0.7380
1.78,19.400,0.7380
1.78,19.500,0.7380
1.78,19.600,0.7380
1.78,19.700,0.7380
1.78,19.800,0.7380
1.78,19.900,0.7380
1.78,20.000,0.7380
1.78,20.100,0.7380
1.78,20.200,0.7380
1.78,20.300,0.7380
1.78,20.400,0.7380
1.78,20.500,0.7380
1.78,20.600,0.7380
1.78,20.700,0.7380
1.78,20.800,0.7380
1.78,20.900,0.7380
1.78,21.000,0.7380
1.78,21.100,0.7380
1.78,21.200,0.7380
1.78,21.300,0.7374
1.78,21.400,0.7376
1.78,21.500,0.7377
1.78,21.600,0.7376
1.78,21.700,0.7380
1.78,21.800,0.7376
1.78,21.900,0.7380
1.78,22.000,0.7380
1.78,22.100,0.7380
1.78,22.200,0.7362
1.78,22.300,0.7379
1.78,22.400,0.7370
1.78,22.500,0.7380
1.78,22.600,0.7376
1.78,22.700,0.7378
1.78,22.800,0.7376
1.78,22.900,0.7377
